index,MEDIA_PREC_ANUAL,Aridity Index,dias_s_chuv,latitude,longitude
82024,1857.9827586206898,1.0676624300570041,229.26315789473685,2.82944443,-60.66194444
82042,2294.33,1.2857556861196193,207.8,1.83249999,-61.12083332
82098,2538.106666666667,1.4496004347280789,170.4,-0.04499999,-51.11
82106,3060.8399999999997,1.9374853379187953,129.94117647058823,-0.12527777,-67.06111111
82113,2492.1,1.4324455337764286,154.66666666666666,-0.97416666,-62.9286111
82141,3142.400000000001,1.596298952350925,178.1578947368421,-0.72777777,-48.51583333
82145,2471.173333333333,1.709280064131172,178.65217391304347,-1.06361111,-46.86527777
82178,1913.2866666666669,1.2882791280215127,206.55555555555554,-1.905,-55.5236111
82181,1754.783333333333,1.1535636046688742,219.70833333333334,-2.0,-54.07638888
82184,2316.6566666666668,1.451598300360267,151.75,-1.751055,-52.236186
82188,2095.003333333333,1.2548667837298848,152.72727272727272,-1.680277,-50.478034
82191,3087.336666666667,1.9963672783245674,99.52380952380952,-1.43583333,-48.43722221
82198,2200.6433333333334,1.5975576215389795,196.52631578947367,-1.66138888,-45.37194443
82212,2528.303333333334,1.5817382074320627,156.26315789473685,-2.51583333,-66.10083333
82240,2276.4166666666665,1.3467452957074948,164.33333333333334,-2.63,-56.73
82246,1885.813333333333,1.4823521941943796,203.65,-2.64222221,-54.94388888
82263,2593.823333333333,1.5340713736858134,151.2,-2.23972221,-49.49972221
82280,2202.3766666666666,1.420047785927971,215.9,-2.52666666,-44.21361111
82287,1120.3666666666666,0.7044551908937273,256.3125,-3.08668,-41.783139
82296,1643.5107142857146,0.7530828063784892,245.28571428571428,-3.46972221,-42.26805554
82298,1613.8633333333325,0.9929604828698823,245.83333333333331,-3.9,-42.25944444
82317,2674.4099999999994,1.3102566311577488,159.0,-3.38027777,-64.72527777
82326,3028.376666666666,1.9177982429555136,164.91666666666666,-3.8411111,-62.05527777
82331,2293.3599999999997,1.4579609884460525,187.0,-3.10388888,-60.01555555
82336,2445.0033333333345,1.4732167782164292,184.05882352941177,-3.13694444,-58.44277777
82353,2114.0566666666664,1.3332813675056732,173.07692307692307,-3.21416666,-52.21305555
82361,2225.23,1.3418450847478478,174.54545454545453,-3.76,-49.66666666
82376,1837.0433333333333,1.0297241630807639,209.45,-3.269212,-45.651007
82382,1675.9799999999998,1.0774621428621343,234.6,-3.742684,-43.3521
82392,866.0533333333334,0.6431504709888237,271.0,-3.74833333,-40.34583333
82397,1564.3466666666673,0.9931004070212484,206.0,-3.81527777,-38.53777777
82410,2559.7344827586207,1.7625118725000901,160.44444444444446,-4.3786111,-70.02999999
82425,2316.443333333333,1.413901778748898,167.7,-4.08534,-63.145144
82445,1957.2666666666669,1.2279585963574198,180.72727272727272,-4.276986,-55.993087
82460,1814.726666666667,1.0301448222260958,222.63636363636363,-4.21805554,-44.77583332
